subject,hearing_status,group_HI,trial_index,correct,score,r_att_envelope,r_ign_envelope,diff_envelope,r_att_onset,r_ign_onset,diff_onset,r_diff_combined,subject_decoding_accuracy,subject_n_trials,subject_n_features,predictor_names,input_path,tstart,tstop,basis,basis_window,test,partitions,error,selective_stopping,scale_data,score_mode,feature_weights,summary_path,trial_csv_path
sub-001,,,0,1,0.0750237347317015,0.1069121409915486,0.0452544361315807,0.0616577048599678,0.1330782293872634,0.0446884647838281,0.0883897646034352,0.0750237347317015,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,1,1,0.1295501185165273,0.1550281279572823,0.0157468504533054,0.1392812775039769,0.1777186931480653,0.0578997336189876,0.1198189595290777,0.1295501185165273,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,2,1,0.100021799679509,0.0703987505174224,-0.0081138507991146,0.078512601316537,0.0834314537085973,-0.0380995443338837,0.1215309980424811,0.100021799679509,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,3,0,-0.0189670177846236,0.1176748498219625,0.0839602143379485,0.0337146354840139,0.04895272093117,0.1206013919844312,-0.0716486710532611,-0.0189670177846236,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,4,1,0.1232319149460431,0.0685914827928526,-0.0316454187014001,0.1002369014942527,0.1129758780382539,-0.0332510503595795,0.1462269283978334,0.1232319149460431,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,5,1,0.0435838611837029,0.108550747751439,0.0363158001935098,0.0722349475579291,0.1097132538291662,0.0947804790196894,0.0149327748094767,0.0435838611837029,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,6,1,0.1118159034446914,0.153606139309526,0.0261186327284768,0.1274875065810491,0.1260724019071377,0.029928101598804,0.0961443003083336,0.1118159034446914,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,7,1,0.0795106341045098,0.1499701871568614,0.0271745736029335,0.1227956135539278,0.1326356537734587,0.0964099991183668,0.0362256546550918,0.0795106341045098,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,8,1,0.0834096180045597,0.1635635044765271,0.0503282351105648,0.1132352693659622,0.1660444324686735,0.1124604658255163,0.0535839666431572,0.0834096180045597,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
sub-001,,,9,1,0.0044910189029927,0.0213888994307887,-0.0142848376225617,0.0356737370533505,-0.0098395479229387,0.0168521513244261,-0.0266916992473649,0.0044910189029927,0.9375,32,2,"envelope,onset",data/processed/env_onset/sub-001_mtrf_env_onset.npz,-0.5,0.0,0.05,hamming,1,,l2,1,True,mean,"1.0,1.0",results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.summary.json,results_env_onset\sub-001\sub-001_backward_mtrf_env_onset.trial_results.csv
