subject,group_HI,group_label,delta_envelope,delta_onset,mean_r_att_envelope,mean_r_ign_envelope,mean_r_att_onset,mean_r_ign_onset
sub-001,1,HI,0.06739457996401585,0.06043913515827239,0.11522293850631898,0.047828358542303134,0.11994112172672332,0.05950198656845093
sub-002,1,HI,0.11052817387503475,0.0805635253398161,0.12642670749626372,0.01589853362122897,0.11613281894043934,0.03556929360062324
sub-003,1,HI,0.04010530009981511,0.023732988826040493,0.0899779674528961,0.049872667353080984,0.0791108359238424,0.055377847097801906
sub-004,1,HI,0.10015754647566688,0.07857163662451984,0.16893381004755967,0.06877626357189279,0.1518611268950756,0.07328949027055576
sub-005,1,HI,0.07269164627050098,0.07747372058731383,0.08381148953770656,0.011119843267205588,0.07278042381410489,-0.004693296773208936
sub-006,1,HI,0.12014605758555408,0.10946467722829396,0.14547573067208944,0.025329673086535377,0.16487105189704704,0.055406374668753075
sub-007,1,HI,0.040906497455003854,0.032637868985667874,0.051059400772164476,0.010152903317160619,0.041080320143924674,0.0084424511582568
sub-008,1,HI,0.06598975536663522,0.062430530568855475,0.0999792344487418,0.033989479082106575,0.09639506763122391,0.03396453706236843
sub-009,1,HI,0.09029928880789455,0.08616926458834473,0.16168437232369998,0.07138508351580541,0.1721125313954653,0.0859432668071206
sub-010,1,HI,0.07379659438075725,0.06461490091773535,0.09412970444259212,0.020333110061834865,0.08628235874971091,0.021667457831975552
sub-011,1,HI,0.10023823495089078,0.07251383559125894,0.09536699820130423,-0.004871236749586538,0.09711657580390547,0.024602740212646516
sub-012,1,HI,0.11616209222878501,0.09431490807406617,0.13344756074398226,0.017285468515197255,0.12218272159631803,0.027867813522251855
sub-013,1,HI,0.12657738857013934,0.09283267849974255,0.21453773329443943,0.08796034472430012,0.20118455950411301,0.10835188100437046
sub-014,1,HI,0.11313982297058157,0.11115841460388813,0.1542051011085633,0.04106527813798173,0.1378078398448241,0.026649425240935956
sub-015,1,HI,0.1179757545899002,0.10799016859838545,0.10252348657719736,-0.01545226801270284,0.10460555561654875,-0.0033846129818367143
sub-016,1,HI,0.055997637881045254,0.02915481190527671,0.07863009300412936,0.0226324551230841,0.0658189443917662,0.03666413248648948
sub-017,1,HI,0.09866101648505048,0.06862099715343718,0.1200697730048933,0.021408756519842812,0.10935475500301345,0.04073375784957627
sub-018,1,HI,0.09038696301657419,0.07878908912089132,0.11419985758292181,0.023812894566347623,0.10229498087060317,0.023505891749711842
sub-019,1,HI,0.09302388219227295,0.04033675359340984,0.124520583179363,0.03149670098709005,0.10560852245929593,0.06527176886588609
sub-020,1,HI,0.13469674172803375,0.10888214439861887,0.13841028394450963,0.0037135422164758973,0.1384458435015663,0.029563699102947427
sub-021,0,NH,0.06251716362836729,0.06010358835189113,0.07664008866087262,0.014122925032505318,0.0680792367072264,0.007975648355335282
sub-022,0,NH,0.12206343735775593,0.11905225423757658,0.14665305617000163,0.024589618812245684,0.16535750025036008,0.04630524601278351
sub-023,0,NH,0.08674665730939107,0.04892354294705977,0.06842281100583684,-0.01832384630355422,0.05299386856467926,0.004070325617619488
sub-024,0,NH,0.11259194080639608,0.08364403868250687,0.09969638367073495,-0.012895557135661114,0.08603001387766901,0.002385975195162137
sub-025,0,NH,0.0758628557628906,0.05726901630257747,0.10037495330968776,0.02451209754679716,0.08937769919098641,0.03210868288840894
sub-026,0,NH,0.12378404001012192,0.11875476823294608,0.11609767029549402,-0.007686369714627897,0.12277123588924546,0.004016467656299381
sub-027,0,NH,0.11159306586334801,0.1116159632402646,0.1329154260627804,0.0213223601994324,0.1546081701381923,0.0429922068979277
sub-028,0,NH,0.04520741467831215,0.026151502473595243,0.06173431389524732,0.01652689921693517,0.05956931766905807,0.03341781519546283
sub-029,0,NH,0.1243460182734485,0.10752306687133904,0.09954252296322678,-0.02480349531022171,0.10131182128079866,-0.006211245590540387
sub-030,0,NH,0.10205469007647434,0.09731583293814809,0.13310661614560285,0.031051926069128502,0.14002501143668714,0.04270917849853906
sub-031,0,NH,0.0976040620273945,0.08190278732581702,0.11034089744344722,0.01273683541605271,0.10746894582519616,0.025566158499379134
sub-032,0,NH,0.0315641393943731,0.025877842575456028,0.08523525855746239,0.05367111916308929,0.08735592377567152,0.06147808120021549
sub-033,0,NH,0.08445194628990527,0.056236844115571526,0.1033834908647172,0.018931544574811932,0.11615786068380718,0.05992101656823565
sub-034,0,NH,0.10369704204695267,0.07944076017630607,0.12621142801543364,0.022514385968480974,0.1344032571915298,0.05496249701522373
sub-035,0,NH,0.05160307097801953,0.025861833684108767,0.08180153117275221,0.030198460194732695,0.09970935669203737,0.07384752300792861
sub-036,0,NH,0.02357944904988661,0.022529935598590588,0.03961101641030434,0.016031567360417727,0.03844433135716321,0.01591439575857262
sub-037,0,NH,0.09687835701133325,0.08433286579160801,0.13508948542095808,0.03821112840962483,0.14801843738763945,0.06368557159603144
sub-038,0,NH,0.059737679585184986,0.05024130158080586,0.06634940831000871,0.006611728724823728,0.05361205245835815,0.00337075087755229
sub-039,0,NH,0.10988536445392734,0.08264337632331684,0.10279643726358106,-0.007088927190346273,0.1124241950604178,0.02978081873710097
sub-040,0,NH,0.08856421144448157,0.07605154288764407,0.09731873310921194,0.008754521664730357,0.10799820086277495,0.03194665797513089
sub-041,1,HI,0.10843884039785646,0.11074345341434243,0.1408344847112016,0.03239564431334514,0.1332413724401742,0.02249791902583177
sub-042,1,HI,0.08331353399285658,0.04604141346098422,0.12206516114721423,0.03875162715435764,0.09413885506265145,0.048097441601667235
sub-043,0,NH,0.07941925449197533,0.03823926083404058,0.09601065522853575,0.016591400736560416,0.09337762897888341,0.055138368144842825
sub-044,0,NH,0.1638177949676047,0.14824818036713847,0.16223787449260302,-0.0015799204750017023,0.17631584262774447,0.028067662260606002
